Bike Model,Model Year,Location,Price (Rs),Finance_Available(Yes/No)
Honda Activa,2016,"Thiruporur, Chengalpattu, Tamil Nadu",40000,Yes
Yamaha FZ16,2016,"Gandhidham, Kachchh, Gujarat",25000,Yes
TVS Raider Split Seat,2025,"Shimoga, Karnataka",95000,Yes
Yamaha YZF R15 V3 BS6,2021,"Mehrauli, South Delhi, Delhi",110000,Yes
Fidato Future 2020,2025,"Habra, North 24 Parganas, West Bengal",45000,Yes
TVS Raider 125,2023,Punjab,75000,Yes
Jawa 42 Dual Channel ABS AllStar Black,2022,"Bangalore, Karnataka",175000,Yes
TVS NTORQ 125,2020,"Dadar, Mumbai, Maharashtra",67500,Yes
Jawa forty two,2019,Telangana,120000,Yes
Yamaha FZ,2017,"Vaikom, Kottayam, Kerala",54000,Yes
Bajaj Pulsar 220F BS6,2020,"Dehradun, Utarakhand",100000,Yes
Royal Enfield Scram 411,2023,"Banashankari, Bangalore, Karnataka",225000,Yes
Bajaj Avenger Street 160,2022,"Mumbai, Maharashtra",85000,Yes
Evtric Ride,2023,"Mumbai, Maharashtra",35000,Yes
Honda CB Twister,2014,"Faridabad, Haryana",18000,Yes
Honda Activa 125,2016,"Mayur Vihar, East Delhi, Delhi",29000,Yes
