Bike Model,Model Year,Location,Price (Rs),Finance_Available(Yes/No)
TVS Scooty Pep Plus,2018,"Bangalore, Karnataka",29999,Yes
Yamaha FZ-S FI V2,2015,"Delhi Cantonment, New Delhi, Delhi",22000,Yes
TVS Apache RTR 160,2017,"Shaikpet, Hyderabad, Telangana",40000,Yes
Bajaj Chetak Premium,2024,"Indore, Madhya Pradesh",120000,Yes
TVS Jupiter,2020,"Noida, Uttar Pradesh",40000,Yes
Royal Enfield Classic 350,2016,"Delhi Cantonment, New Delhi, Delhi",95000,Yes
,,"Kanpur, Uttar Pradesh",135000,Yes
Hero Achiever,2017,"Asansol, Paschim Bardhaman, West Bengal",45000,Yes
Honda CB Twister,2010,,,Yes
TVS Apache RR 310,2023,"Pimpri-Chinchwad, Maharashtra",245000,Yes
Honda Activa 5G,2020,"New Delhi, Delhi",55000,Yes
Yamaha FZS 25,2021,"Tirupur, Tamil Nadu",102000,Yes
Royal Enfield Super Meteor 650,2023,"Noida, Uttar Pradesh",390000,Yes
TVS Apache RR 310,2023,"Gurgaon, Haryana",210000,Yes
Hero Duet 110,2016,"Bangalore, Karnataka",43500,Yes
Royal Enfield Super Meteor 650,2024,"Amravati, Maharashtra",410000,Yes
Suzuki Swish,2014,"Pune, Maharashtra",30000,Yes
Royal Enfield Meteor 350 Stellar,2021,"Dwarka, South West Delhi, Delhi",165000,Yes
Royal Enfield Hunter 350 Metro,2023,"Shaikpet, Hyderabad, Telangana",185000,Yes
Simple Energy One 2025,2025,"Bangalore, Karnataka",175000,Yes
Royal Enfield Thunderbird TwinSpark 350,2011,"Pune, Maharashtra",60000,Yes
Bajaj Discover 125M,2014,"KR Puram, Bangalore, Karnataka",35000,Yes
Honda Activa,2011,"Bangalore, Karnataka",32000,Yes
Hero Glamour BS6,2021,"Saharsa, Bihar",65000,Yes
Ather 450X,2023,"Chennai, Tamil Nadu",110000,Yes
Bajaj Pulsar 180 DTSi,2016,"Sitamarhi, Bihar",45000,Yes
Bajaj Dominar 400 ABS BS6,2022,"Ramgarh, Jharkhand",180000,Yes
TVS Victor,2017,"Hindupur, Sri Sathya Sai, Andhra Pradesh",36000,Yes
Hero Glamour 125 Drum,2011,"Kolkata, West Bengal",40000,Yes
Suzuki Access 125 Bluetooth Enabled,2021,"Mathili, Malkangiri, Orissa",60000,Yes
Ola S1 Pro Gen2,2024,"Athani, Belgaum, Karnataka",100000,Yes
Suzuki Gixxer SF BS6,2022,"Gooty, Anantapur, Andhra Pradesh",90000,Yes
Royal Enfield Bullet Electra,2021,"Kumta, Uttara Kannada, Karnataka",145000,Yes
Honda Shine 125 Drum,2020,"Palghar, Maharashtra",65000,Yes
Yamaha MT-15 BS6,2024,"Mysore, Karnataka",175000,Yes
Ola S1 Pro,2022,"Alwar, Rajasthan",90000,Yes
Hero Passion X Pro,2019,"New Delhi, Delhi",30000,Yes
Honda Activa,2011,"Thodupuzha, Idukki, Kerala",15000,Yes
Royal Enfield Interceptor 650 Twin,2025,"Nandakumar, Purba Medinipur, West Bengal",260000,Yes
TVS Apache RTR 160 4V BS6,2020,"Tirupati, Andhra Pradesh",69000,Yes
Royal Enfield Classic 350 Dual Channel BS6,2022,"Guwahati, Assam",150000,Yes
TVS Scooty Streak,2013,"Chennai, Tamil Nadu",20000,Yes
Bajaj Pulsar 150 DTSi,2012,"Secunderabad, Hyderabad, Telangana",25000,Yes
Honda CB Shine,2015,"Bisalpur, Pilibhit, Uttar Pradesh",30000,Yes
KOMAKI XGT X5,2025,"Mumbai, Maharashtra",40000,Yes
Yamaha FZ-S,2017,,,Yes
Hero Maestro Edge 110 BS6,2016,"Bangalore, Karnataka",36000,Yes
KTM Duke 200,2016,"Indore, Madhya Pradesh",100000,Yes
Honda Hness CB 350,2022,"Kanpur, Uttar Pradesh",170000,Yes
TVS NTORQ 125 Race Edition BS6,2024,"Indiranagar, Bangalore, Karnataka",93000,Yes
Ola S1,2022,"Nagpur, Maharashtra",70000,Yes
Yamaha R15 V4,2025,"Chengalpattu, Tamil Nadu",137000,Yes
TVS Apache RTR 160 4V 2024,2024,"Lucknow, Uttar Pradesh",120000,Yes
Royal Enfield Thunderbird 350,2018,"Khairatabad, Hyderabad, Telangana",100000,Yes
Hero Passion X Pro,2013,"Dadar, Mumbai, Maharashtra",30000,Yes
Yamaha FZ-S FI Ver 4.0,2023,"Gurgaon, Haryana",115000,Yes
Royal Enfield Continental GT 650,2022,"Ghaziabad, Uttar Pradesh",315000,Yes
KTM RC 200,2019,"Itwa, Siddharthnagar, Uttar Pradesh",100000,Yes
Royal Enfield Thunderbird 350,2015,Maharashtra,95000,Yes
Royal Enfield Hunter 350 Metro,2024,"Ghaziabad, Uttar Pradesh",172999,Yes
Hero Karizma XMR,2024,"Mumbai, Maharashtra",175000,Yes
Bajaj Avenger Street 160,2019,"Shaikpet, Hyderabad, Telangana",55000,Yes
Suzuki V-Strom 650XT ABS BS6,2022,"Nilambur, Malappuram, Kerala",650000,Yes
Bajaj Platina 100 ES BS6,2022,"Hisar, Haryana",45000,Yes
Royal Enfield Continental GT 650,2023,"Secunderabad, Hyderabad, Telangana",340000,Yes
Honda Livo 110,2019,"Bhiwadi, Alwar, Rajasthan",35000,Yes
TVS Apache RR 310,2023,"Bhagalpur, Bihar",220000,Yes
KTM Duke 250,2023,"Pataudi, Gurgaon, Haryana",170000,Yes
Bajaj Avenger Cruise 220,2015,"Electronic City, Bangalore, Karnataka",48500,Yes
Honda CB Shine,2017,"Lucknow, Uttar Pradesh",40000,Yes
Royal Enfield Classic 350,2016,"Bangalore, Karnataka",129999,Yes
Hero CBZ Xtreme,2011,"Hebbal, Bangalore, Karnataka",40000,Yes
Honda Activa 5G,2023,,,Yes
Honda CB Shine SP,2014,"Alandur, Chennai, Tamil Nadu",35000,Yes
Royal Enfield Bullet Electra,2014,"Jammu, Jammu Kashmir",97000,Yes
Harley Davidson Street 750,2015,"Navi Mumbai, Maharashtra",200001,Yes
Honda CB Trigger,2014,"Mumbai, Maharashtra",33000,Yes
Triumph Speed 400 2025,2025,"Malad, Mumbai, Maharashtra",310000,Yes
Royal Enfield Classic 500,2011,"West Delhi, Delhi",80000,Yes
Honda Activa 6G Std,2023,"Kolkata, West Bengal",65000,Yes
Royal Enfield Continental GT 650,2021,"Noida, Uttar Pradesh",295000,Yes
Royal Enfield Interceptor 650 Twin,2019,"HSR Layout, Bangalore, Karnataka",290000,Yes
Aprilia SR 150,2016,"Proddatur, Kadapa, Andhra Pradesh",35000,Yes
Royal Enfield Thunderbird 350,2017,"Pimpri-Chinchwad, Pune, Maharashtra",100000,Yes
Hero Glamour Xtec,2023,"Noida, Uttar Pradesh",65000,Yes
Honda Activa e,2025,"Bangalore, Karnataka",105000,Yes
Jawa 42 Bobber Dual Channel ABS,2023,"Ambattur, Chennai, Tamil Nadu",160000,Yes
Revolt RV 400,2020,"Ameerpet, Hyderabad, Telangana",60000,Yes
Hero Xtreme 250R,2025,"Banashankari, Bangalore, Karnataka",200000,Yes
KTM Duke,2017,"Chennai, Tamil Nadu",130000,Yes
Royal Enfield Thunderbird 500,2014,"Noida, Uttar Pradesh",90000,Yes
Suzuki Gixxer SF 250 BS6,2021,"Lucknow, Uttar Pradesh",160000,Yes
Bajaj Pulsar 150 DTSi,2012,"Darbhanga, Bihar",35000,Yes
Jawa forty two BS6,2022,"Ambala, Haryana",145000,Yes
TVS Raider Split Seat,2024,"Bansgaon, Gorakhpur, Uttar Pradesh",90000,Yes
Honda CB350 DLX Pro,2023,"Mangalore, Karnataka",210000,Yes
Hero HF Deluxe,2019,"Agra, Uttar Pradesh",25000,Yes
Royal Enfield Interceptor 650 Twin,2019,"Bellandur, Bangalore, Karnataka",260000,Yes
Honda CB Unicorn,2014,"Bangalore, Karnataka",45000,Yes
Hero Glamour BS6,2022,"Kolkata, West Bengal",75000,Yes
Suzuki Swish,2017,"Bangalore, Karnataka",35000,Yes
KTM 250 Adventure 2021,2021,"Warangal, Telangana",140000,Yes
Jawa 42 Dual Channel ABS AllStar Black,2021,"New Delhi, Delhi",120000,Yes
Honda CD 110 Dream,2019,,,Yes
Bajaj Pulsar N150,2023,"Hyderabad, Telangana",140000,Yes
Honda Hness Anniversary Edition,2022,"Pune, Maharashtra",180000,Yes
TVS Apache RTR 180,2018,"Bhota, Hamirpur, Himachal Pradesh",60000,Yes
Hero Glamour 125 Disc,2021,"Bijepur, Bargarh, Orissa",55000,Yes
Yamaha R15 V4,2023,"Aurangabad, Maharashtra",150000,Yes
Yamaha FZ-S FI V3 BS6,2021,"Hyderabad, Telangana",80000,Yes
Kawasaki Z250,2015,"Tambaram, Chengalpattu, Tamil Nadu",135000,Yes
Arrow EV Vespar Round Light,2012,"Pune, Maharashtra",20000,Yes
Hero Achiever,2019,"Pipalda, Kota, Rajasthan",51990,Yes
TVS NTORQ 125 Race XP,2023,"Hyderabad, Telangana",60000,Yes
Royal Enfield Thunderbird 350,2016,"Indore, Madhya Pradesh",90000,Yes
TVS Apache RTR 160 4V BS6,2022,"Gonda, Uttar Pradesh",95000,Yes
Royal Enfield Interceptor 650 Twin,2020,"Bangalore, Karnataka",225000,Yes
TVS NTORQ 125,2022,"Shahdara, Delhi",60000,Yes
Yamaha FZ25,2018,"Dadar, Mumbai, Maharashtra",50000,Yes
BMW G 310 RR,2023,"Bhubaneshwar, Orissa",260000,Yes
Hero Pleasure Plus Platinum,2021,"Ghaziabad, Uttar Pradesh",48000,Yes
Yezdi Roadster Dark,2022,"Sikar, Rajasthan",200000,Yes
Royal Enfield Bullet Electra Twinspark,2015,"Mumbai, Maharashtra",85500,Yes
Royal Enfield Meteor 350 Stellar,2023,"T. Nagar, Chennai, Tamil Nadu",175000,Yes
TVS Apache RTR 200 4V,2016,"Noida, Uttar Pradesh",60000,Yes
Hero Destini 125,2025,"Secunderabad, Hyderabad, Telangana",85000,Yes
TVS Jupiter,2015,"Gurgaon, Haryana",20000,Yes
Hero Glamour Xtec,2022,"East Delhi, Delhi",65000,Yes
Suzuki Access 125,2021,"Kundapura, Udupi, Karnataka",55000,Yes
Jawa Jawa BS6,2021,"Chinnasalem, Kallakurichi, Tamil Nadu",165000,Yes
Suzuki Access 125 BS6,2018,"Pune, Maharashtra",60000,Yes
TVS Jupiter,2015,"Chennai, Tamil Nadu",30000,Yes
Suzuki V-Strom SX,2022,"Bangalore, Karnataka",200000,Yes
Yamaha MT-15 Ver 2.0,2023,"Davangere, Karnataka",150000,Yes
Hero Splendor Plus 2025,2025,"Ahmedabad, Gujarat",85000,Yes
Bajaj Pulsar 150 DTSi,2013,"Indore, Madhya Pradesh",40000,Yes
Bajaj Pulsar NS 160,2019,"Panvel, Raigad, Maharashtra",68000,Yes
Hero Super Splendor,2022,"Parel, Mumbai, Maharashtra",65000,Yes
Yamaha FZ25,2020,"Bangalore, Karnataka",96000,Yes
Bajaj Pulsar NS 160,2018,"Visakhapatnam, Andhra Pradesh",52000,Yes
Yamaha Cygnus Ray ZR,2016,"Nagpur, Maharashtra",35000,Yes
Honda Activa 5G Limited Edition,2019,"Balugaon, Khordha, Orissa",40000,Yes
Royal Enfield Interceptor 650 Twin,2020,"Chanakyapuri, New Delhi, Delhi",235000,Yes
Honda Activa,2013,"Wakad, Pune, Maharashtra",15000,Yes
Yamaha Ray ZR 125 Fi Hybrid,2024,"Mayur Vihar, East Delhi, Delhi",85000,Yes
Honda CD 110 Dream,2019,"Uklana Mandi, Hisar, Haryana",40000,Yes
Aprilia SR 125,2019,"Kolkata, West Bengal",45000,Yes
Honda SP 125 BSVI,2023,"Agra, Uttar Pradesh",80000,Yes
,,"Vasundhara, Ghaziabad, Uttar Pradesh",35000,Yes
Honda Unicorn,2011,"Chennai, Tamil Nadu",20000,Yes
Royal Enfield Meteor 350 Stellar,2022,"Anna Nagar, Chennai, Tamil Nadu",170000,Yes
Bajaj Pulsar NS 125,2024,"Jamui, Bihar",95000,Yes
TVS Victor Premium Edition,2020,"Sambhal, Uttar Pradesh",38000,Yes
Jawa forty two,2023,"Hosapete, Vijayanagara, Karnataka",170000,Yes
Honda Activa 125,2017,"Bannerghatta Road, Bangalore, Karnataka",35000,Yes
KTM Duke 200,2016,"Nashik, Maharashtra",85000,Yes
Bajaj Chetak Electric,2024,"Ameerpet, Hyderabad, Telangana",80000,Yes
Jawa 42 Dual Channel ABS Orion Red,2021,"South 24 Parganas, West Bengal",135000,Yes
Yamaha FZ FI V3 BS6,2019,"Pune, Maharashtra",74000,Yes
Royal Enfield Bullet 350,1982,"Ranni, Pathanamthitta, Kerala",125000,Yes
Honda Shine 125,2009,"Bhavani, Erode, Tamil Nadu",20000,Yes
Hero Super Splendor XTEC,2024,"T. Nagar, Chennai, Tamil Nadu",95000,Yes
Yamaha FZ-S FI V3,2024,"Coimbatore, Tamil Nadu",130000,Yes
Hero Karizma R,2014,"Hyderabad, Telangana",50000,Yes
Royal Enfield Classic 350,2015,"Zaheerabad, Sangareddy, Telangana",80000,Yes
TVS Apache RTR 160 4V,2018,"Bhopal, Madhya Pradesh",55000,Yes
TVS Apache RTR 160 4V,2018,"Bhopal, Madhya Pradesh",55000,Yes
Hero CBZ Xtreme,2011,"Bodhan, Nizamabad, Telangana",30000,Yes
Bajaj Avenger Street 160,2019,"Ahmedabad, Gujarat",36000,Yes
Bajaj Pulsar 220F BS6,2025,"Bardhaman, West Bengal",140000,Yes
Bajaj Pulsar NS400,2024,"Hyderabad, Telangana",200000,Yes
Yezdi Roadster Dual Tone,2023,"Bhandup, Mumbai, Maharashtra",185000,Yes
Okaya Faast F2F,2023,"Harhua, Varanasi, Uttar Pradesh",50000,Yes
Yamaha MT-15 Ver 2.0,2023,"Hisar, Haryana",140000,Yes
KTM Duke 390,2013,"Hadapsar, Pune, Maharashtra",80000,Yes
Triumph Scrambler 400 X,2024,"Virudhunagar, Tamil Nadu",220000,Yes
TVS Sport,2015,,,Yes
Deltic Legion,2024,"Bardhaman, West Bengal",55000,Yes
Royal Enfield Himalayan BS VI,2018,"Pune, Maharashtra",155000,Yes
Bicycle Hero,2021,"Pune, Maharashtra",2000,No
Bajaj Pulsar NS 160,2018,"Hyderabad, Telangana",72000,Yes
Honda Activa,2016,"Ulhasnagar, Thane, Maharashtra",40000,Yes
Yamaha FZ-S FI V3 BS6,2020,"Mulund West, Mumbai, Maharashtra",75000,Yes
Royal Enfield Thunderbird 350,2014,"New Delhi, Delhi",85000,Yes
Hero Glamour 125 Disc,2018,"Ghaziabad, Uttar Pradesh",50000,Yes
KTM RC 200,2019,"Pune, Maharashtra",130000,Yes
Yamaha FZ FI V2,2018,"Kherki Daula, Gurgaon, Haryana",60000,Yes
Hero Duet 125,2019,"Gurgaon, Haryana",20000,Yes
Royal Enfield Meteor 350 Supernova,2024,"Daulatpur Chowk, Una, Himachal Pradesh",190000,Yes
Bajaj Pulsar NS125 BS6,2023,"Hyderabad, Telangana",70000,Yes
Royal Enfield Super Meteor 650,2025,"Jammu, Jammu Kashmir",432000,Yes
Bajaj Pulsar AS 200,2015,"Allahabad, Uttar Pradesh",45000,Yes
,,"Hagaribommanahalli, Vijayanagara, Karnataka",160000,Yes
,,"Hyderabad, Telangana",120000,Yes
Bajaj Dominar 400,2018,"Rajajinagar, Bangalore, Karnataka",175000,Yes
Bajaj Pulsar NS125 BS6,2022,"Nashik, Maharashtra",75000,Yes
Jawa 42 Bobber Red Sheen,2023,"Alandur, Chennai, Tamil Nadu",189000,Yes
Honda Hness Anniversary Edition,2022,"Dahisar, Mumbai, Maharashtra",175000,Yes
Suzuki Avenis 125 Ride Connect Edition,2022,"Dehradun, Utarakhand",65000,Yes
Suzuki Gixxer SF,2016,"Bhiwandi, Thane, Maharashtra",42000,Yes
TVS Apache RTR 160 4V,2018,"Kolkata, West Bengal",62000,Yes
